appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,mac,windows,linux,Free to Play,Adventure,Simulation,Sports,Indie,Strategy,Early Access,Casual,Action,Racing,RPG,Single-player,MMO,Includes level editor,VR Support,Controller Support,Online,Multi-Player,co-op,Local
1640,Disciples II: Gallean's Return,2006-07-06,1,Strategy First,Strategy First,0,0,490,152,9,12,150000,4.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,1,Strategy First,Strategy First,0,0,137,102,0,0,35000,3.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1690,Space Empires V,2006-10-16,1,Malfador Machinations,Strategy First,0,0,191,85,35,35,75000,10.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1700,Arx Fatalis,2007-04-03,1,Arkane Studios,Arkane Studios,0,0,671,106,11,21,150000,2.99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1840,Source Filmmaker,2012-07-10,1,Valve,Valve,0,0,15083,1111,239,77,1500000,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,Earth 2160,2006-04-01,1,Reality Pump Studios,Topware Interactive;ACE,0,0,498,238,405,414,1500000,3.99,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
1930,Two Worlds Epic Edition,2009-04-30,1,Reality Pump Studios,Topware Interactive,0,0,2656,1055,484,422,1500000,6.99,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
2100,Dark Messiah of Might & Magic,2006-10-25,1,Arkane Studios,Ubisoft,0,0,4386,316,634,700,1500000,4.29,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
2200,Quake III Arena,2007-08-03,1,id Software,id Software,0,0,1362,66,123,103,350000,12.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2210,Quake IV,2011-08-04,1,RavenSoft / id Software,Bethesda Softworks,18,0,891,171,36,32,350000,12.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2270,Wolfenstein 3D,2007-08-03,1,id Software,Bethesda-Softworks,0,0,1773,87,69,110,350000,2.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2280,Ultimate Doom,2007-08-03,1,id Software,id Software,0,0,3705,257,125,179,750000,3.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2290,Final DOOM,2007-08-03,1,id Software,id Software,0,0,573,82,120,114,350000,3.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2300,DOOM II,2007-08-03,1,id Software,id Software,0,0,2517,182,90,78,750000,3.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2310,QUAKE,2007-08-03,1,id Software,id Software,0,0,2618,136,167,189,350000,3.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
2320,QUAKE II,2007-08-03,1,id Software,id Software,0,0,1369,107,291,349,350000,3.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
2330,QUAKE II Mission Pack: The Reckoning,2007-08-03,1,Xatrix Entertainment,id Software,0,0,65,12,32,32,350000,2.49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2340,QUAKE II Mission Pack: Ground Zero,2007-08-03,1,Rogue Entertainment,id Software,0,0,54,33,1,1,350000,2.49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2350,QUAKE III: Team Arena,2007-08-03,1,id Software,id Software,0,0,108,31,0,0,350000,12.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2360,HeXen: Beyond Heretic,2007-08-03,1,Raven Software,id Software,0,0,249,26,50,50,350000,2.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2370,HeXen: Deathkings of the Dark Citadel,2007-08-03,1,Raven Software,id Software,0,0,57,20,0,0,150000,2.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,1,Raven Software,id Software,0,0,417,29,0,0,350000,2.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2400,The Ship: Murder Party,2006-07-11,1,Outerlight Ltd.,Blazing Griffin Ltd.,0,0,4819,792,233,239,1500000,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
2450,Bloody Good Time,2010-10-29,1,Outerlight Ltd.,Ubisoft,0,12,662,204,193,193,150000,4.29,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2500,Shadowgrounds,2006-05-08,1,Frozenbyte,Frozenbyte,0,0,973,248,186,258,750000,3.99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2520,Gumboy - Crazy Adventures™,2006-12-19,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",0,0,52,46,0,0,75000,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2590,Alpha Prime,2007-11-07,1,Black Element,Bohemia Interactive,0,0,610,523,0,0,350000,2.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2600,Vampire: The Masquerade - Bloodlines,2007-03-22,1,Troika Games,Activision,0,0,6161,362,350,202,750000,14.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2610,GUN™,2006-10-13,1,Neversoft,Activision,0,0,740,87,462,889,75000,9.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2620,Call of Duty®,2006-10-13,1,Infinity Ward,Activision,0,0,1555,117,545,849,350000,14.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2630,Call of Duty® 2,2006-10-13,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,0,2434,236,750,1041,350000,14.99,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2640,Call of Duty: United Offensive,2006-10-13,1,Gray Matter Studios,Activision,0,0,490,97,0,0,350000,14.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2710,Act of War: Direct Action,2008-03-12,1,Eugen Systems,THQ Nordic,0,0,180,33,0,0,35000,1.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2720,ThreadSpace: Hyperbol,2007-07-12,1,Iocaine Studios,Atari,0,0,31,9,0,0,35000,3.99,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
2780,ARMA: Combat Operations,2008-03-12,1,Bohemia Interactive,Bohemia Interactive,0,0,145,77,0,0,35000,5.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
2800,X2: The Threat,2006-07-21,1,Egosoft,Egosoft,0,0,212,50,732,732,350000,4.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2810,X3: Reunion,2006-07-21,1,Egosoft,Egosoft,0,0,282,113,831,1232,350000,9.99,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2820,X3: Terran Conflict,2008-10-16,1,Egosoft,Egosoft,0,33,1633,272,972,1273,750000,15.99,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2840,X: Beyond the Frontier,2010-10-08,1,Egosoft,Egosoft,0,0,142,48,648,648,350000,3.49,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2850,X: Tension,2010-10-08,1,Egosoft,Egosoft,0,0,57,18,13,13,35000,3.49,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2870,X Rebirth,2013-11-15,1,Egosoft,Egosoft,0,69,2832,4032,1744,3386,350000,24.99,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2900,688(I) Hunter/Killer,2006-10-26,1,Sonalysts,Strategy First,0,0,52,17,0,0,35000,22.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2910,Fleet Command,2006-10-26,1,Sonalysts,Strategy First,0,0,127,31,0,0,75000,22.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2920,Sub Command,2006-10-26,1,Sonalysts,Strategy First,0,0,33,14,0,0,35000,22.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1
2990,FlatOut 2™,2006-12-21,1,Bugbear Entertainment,Strategy First,0,0,5438,343,293,351,750000,5.99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3010,Xpand Rally,2006-08-24,1,Techland,Techland,0,0,139,39,939,939,35000,3.99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
3020,Call of Juarez™,2007-11-08,1,Techland,Techland Publishing,0,0,793,198,46,60,150000,8.59,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
3050,Xpand Rally Xtreme,2008-10-08,1,Techland,Techland,0,0,71,36,0,0,35000,3.99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
3130,Men of War: Red Tide,2009-11-01,1,1C Entertainment,1C Entertainment;1C-SoftClub,0,0,294,69,0,0,350000,3.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3170,King's Bounty: Armored Princess,2009-11-19,1,Katauri Interactive,1C Entertainment,0,0,482,53,1422,1429,350000,7.99,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3230,Genesis Rising,2007-08-06,1,Metamorf,THQ Nordic,0,0,30,94,0,0,35000,4.49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3260,Safecracker: The Ultimate Puzzle Adventure,2007-08-29,1,Kheops Studio,HandyGames,0,0,256,172,1,1,75000,4.49,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3270,Painkiller Overdose,2007-10-30,1,Mindware Studios,THQ Nordic,0,0,429,137,270,270,350000,4.49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
3330,Zuma Deluxe,2006-08-30,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,437,37,267,267,150000,4.25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3410,Heavy Weapon Deluxe,2006-08-30,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,71,28,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3480,Peggle Deluxe,2007-03-06,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,1106,66,214,254,350000,4.25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3483,Peggle Extreme,2007-09-11,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,707,58,1,1,350000,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3490,Venice Deluxe,2007-06-25,1,"Retro64, Inc.","PopCap Games, Inc.",0,0,10,2,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3500,Mystery P.I.™ - The Lottery Ticket,2007-10-16,1,SpinTop Games,"PopCap Games, Inc.",0,0,10,3,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3510,Amazing Adventures The Lost Tomb™,2007-12-13,1,SpinTop Games,"PopCap Games, Inc.",0,0,21,8,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3520,Mystery P.I.™ - The Vegas Heist,2008-06-05,1,SpinTop Games,"PopCap Games, Inc.",0,0,11,5,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3530,Amazing Adventures Around the World,2009-04-15,1,SpinTop Games,"PopCap Games, Inc.",0,0,23,7,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3540,Peggle™ Nights,2008-10-15,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,368,24,237,237,350000,4.25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3560,Bejeweled Twist,2008-11-18,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,98,18,0,0,35000,4.25,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3570,Mystery P.I.™ - The New York Fortune,2009-01-28,1,SpinTop Games,"PopCap Games, Inc.",0,0,8,5,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3580,The Wizard's Pen™,2009-02-18,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,15,3,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3590,Plants vs. Zombies GOTY Edition,2009-05-05,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,21,14630,454,480,374,1500000,4.25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3600,Escape Rosecliff Island,2009-04-15,1,SpinTop Games,"PopCap Games, Inc.",0,0,97,57,0,0,75000,4.25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3610,Mystery P.I. - Lost in Los Angeles,2009-07-27,1,SpinTop Games,"PopCap Games, Inc.",0,0,8,3,0,0,35000,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3620,Zuma's Revenge!,2009-09-15,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,14,435,28,0,0,150000,4.25,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
3700,Sniper Elite,2009-07-16,1,Rebellion,Rebellion,0,0,1181,377,262,371,750000,5.59,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3710,Judge Dredd: Dredd vs. Death,2009-03-26,1,Rebellion,Rebellion,0,0,559,79,8,8,75000,5.59,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
3720,Evil Genius,2009-06-22,1,Elixir Studios,Rebellion,0,0,1847,95,287,318,350000,6.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3730,Aliens versus Predator Classic 2000,2010-01-15,1,Rebellion,Rebellion,0,0,1434,219,20,24,350000,3.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
3800,Advent Rising,2006-09-14,1,GlyphX Games,Majesco Entertainment,0,0,260,71,0,0,75000,7.19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3810,BloodRayne,2006-09-14,1,Terminal Reality,Majesco Entertainment,0,0,369,110,111,111,75000,6.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3820,BloodRayne 2,2006-09-14,1,Terminal Reality,Majesco Entertainment,0,0,259,103,771,771,75000,6.99,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3830,Psychonauts,2006-10-11,1,Double Fine Productions,Double Fine Productions,0,37,8204,456,491,232,3500000,6.99,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3900,Sid Meier's Civilization® IV,2006-10-25,1,Firaxis Games,2K,0,0,1394,129,49,64,1500000,9.99,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
3910,Sid Meier's Civilization® III Complete,2006-10-25,1,Firaxis Games,2K,0,0,2578,405,1166,13,3500000,2.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
3920,Sid Meier's Pirates!,2005-07-11,1,Firaxis Games,2K,0,0,2641,193,296,436,750000,5.99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3960,Shattered Union,2006-10-25,1,PopTop,2K,0,0,39,49,0,0,35000,2.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3980,CivCity: Rome,2007-04-06,1,FireFly Studios;Firaxis Games,2K,0,0,184,65,0,0,75000,5.99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3990,Civilization IV®: Warlords,2007-04-06,1,Firaxis Games,2K,0,0,121,20,0,0,1500000,2.99,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4000,Garry's Mod,2006-11-29,1,Facepunch Studios,Valve,0,29,363721,16433,12422,1875,15000000,6.99,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
4100,Poker Superstars II,2006-10-05,1,Funkitron,Funkitron,0,0,4,5,0,0,10000,5.99,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4230,RACE - The WTCC Game,2006-11-24,1,SimBin,SimBin,0,0,119,43,0,0,350000,25.99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
4290,RACE: Caterham Expansion,2007-06-22,1,SimBin,SimBin,0,0,4,2,0,0,10000,3.99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
4300,RoboBlitz,2006-11-07,1,Naked Sky Entertainment,Naked Sky Entertainment,0,0,43,14,78,78,35000,5.99,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
4420,Silverfall,2007-03-20,1,Monte Cristo,Focus Home Interactive,0,0,57,36,0,0,35000,7.99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
4460,City Life 2008,2008-09-29,1,Monte Cristo,Focus Home Interactive,0,0,77,41,0,0,35000,6.99,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4470,Silverfall: Earth Awakening,2008-07-18,1,Monte Cristo,Focus Home Interactive,0,0,31,17,0,0,35000,7.99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,1,GSC Game World,GSC Game World,0,0,11039,570,493,360,1500000,9.99,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
4520,Full Spectrum Warrior,2007-07-17,1,Pandemic Studios,THQ Nordic,0,0,106,60,124,244,150000,7.99,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
4530,Full Spectrum Warrior: Ten Hammers,2007-07-17,1,Pandemic Studios,THQ Nordic,0,0,76,38,1,1,150000,4.99,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
